Name,Address,Latitude,Longitude,Rating,Total Ratings,Place ID,Types,geometry,neighbourhood,neighbourhood_group,Popularity,Normalized Popularity
Staten Island Children's Museum,"off, 1000 Richmond Terrace Building M Enter via the Fillmore St. Gate, Tysen St, 10301, United States",40.6427314,-74.1019799,4.6,858.0,ChIJk30EFxhOwokRbwoFIDYBiJY,"museum, point_of_interest, establishment",POINT (-74.1019799 40.6427314),Randall Manor,Staten Island,4.442882445573648,0.5837774994285354
The Big Field,"Norway Ave, Staten Island, NY 10305, United States",40.5948997,-74.0801305,3.8,15.0,ChIJxRpcd-FOwokRz24Rzoo0oLU,"park, point_of_interest, establishment",POINT (-74.0801305 40.5948997),Arrochar,Staten Island,4.079028293479404,0.28210096943135327
Maryana Park Center,"160 Father Capodanno Blvd, Staten Island, NY 10305, United States",40.592158,-74.06343799999999,0.0,0.0,ChIJ77Xs7eNPwokR1_3BfYA0KnQ,"park, point_of_interest, establishment",POINT (-74.06343799999999 40.592158),Arrochar,Staten Island,4.0899849018621035,0.29118524558542763
Michael J. Leonard Memorial Plaza,"Clove Blvd &, Hylan Blvd, Staten Island, NY 10305, United States",40.5987358,-74.08150789999999,0.0,0.0,ChIJU9XteaxPwokRseLyqQAHy3Y,"park, point_of_interest, establishment",POINT (-74.08150789999999 40.5987358),Concord,Staten Island,4.0899849018621035,0.29118524558542763
Fort Wadsworth,"Staten Island, NY 10305, United States",40.6052201,-74.0562459,4.7,35.0,ChIJq6qqqh5PwokRS7Y6dqVd1yg,"point_of_interest, establishment",POINT (-74.0562459 40.6052201),Fort Wadsworth,Staten Island,4.141185209859289,0.3336361319157758
Fort Wadsworth Beach,"448 USS Florida Ct, Staten Island, NY 10305, United States",40.5976057,-74.0560953,4.4,13.0,ChIJ-VrTXRRPwokR8klKe6FtNNk,"park, point_of_interest, establishment",POINT (-74.0560953 40.5976057),Fort Wadsworth,Staten Island,4.100187930408414,0.29964471823290756
Arrochar Playground,"Sand Ln, Staten Island, NY 10305, United States",40.59773759999999,-74.0712484,4.5,92.0,ChIJ6_gQYhtPwokRtKDQUJeoUcI,"point_of_interest, establishment",POINT (-74.0712484 40.59773759999999),Arrochar,Staten Island,4.1695658913741,0.3571669490551821
Dongan Playground,"386 Dongan Hills Ave, Staten Island, NY 10305, United States",40.58304930000001,-74.0897635,4.0,66.0,ChIJ69YhUMVOwokRBTiNVs8kEQQ,"park, point_of_interest, establishment",POINT (-74.0897635 40.58304930000001),Dongan Hills,Staten Island,4.076728197569919,0.28019392797355885
Tappen Park,"Bay St, Staten Island, NY 10304, United States",40.6267868,-74.07672819999999,3.8,501.0,ChIJNxRc0LRPwokRAMJtwbOtxnY,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.07672819999999 40.6267868),Stapleton,Staten Island,3.9254521319494042,0.15476884134103824
Latourette Park,"Rockland Ave. &, Forest Hill Rd, Staten Island, NY 10306, United States",40.5827082,-74.1417053,4.4,795.0,ChIJ0SNFyYdLwokRHrw1PK2KDJE,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.1417053 40.5827082),,,4.2993833751158235,0.464800427477121
